Dependency=Geometry Building Type RECS	Dependency=Vintage	Dependency=Heating Fuel	Dependency=HVAC System Is Shared	Option=None	Option=Fan Coil Heating And Cooling	Option=Fan Coil Cooling Only	Option=Boiler Baseboards Heating Only	Option=PTAC Heating And Cooling	resstock_probability
Mobile Home	<1940	Electricity	Both Shared	1.0	0.0	0.0	0.0	0.0	0.0
Mobile Home	<1940	Electricity	Neither Shared	1.0	0.0	0.0	0.0	0.0	0.014741200000000003
Mobile Home	<1940	Electricity	Only Cooling Shared	1.0	0.0	0.0	0.0	0.0	0.0
Mobile Home	<1940	Electricity	Only Heating Shared	1.0	0.0	0.0	0.0	0.0	0.0
Mobile Home	1940s	Electricity	Both Shared	1.0	0.0	0.0	0.0	0.0	0.0
Mobile Home	1940s	Electricity	Neither Shared	1.0	0.0	0.0	0.0	0.0	0.029482400000000013
Mobile Home	1940s	Electricity	Only Cooling Shared	1.0	0.0	0.0	0.0	0.0	0.0
Mobile Home	1940s	Electricity	Only Heating Shared	1.0	0.0	0.0	0.0	0.0	0.0
Mobile Home	1950s	Electricity	Both Shared	1.0	0.0	0.0	0.0	0.0	0.0
Mobile Home	1950s	Electricity	Neither Shared	1.0	0.0	0.0	0.0	0.0	0.014741200000000003
Mobile Home	1950s	Electricity	Only Cooling Shared	1.0	0.0	0.0	0.0	0.0	0.0
Mobile Home	1950s	Electricity	Only Heating Shared	1.0	0.0	0.0	0.0	0.0	0.0
Mobile Home	1960s	Electricity	Both Shared	1.0	0.0	0.0	0.0	0.0	0.0
Mobile Home	1960s	Electricity	Neither Shared	1.0	0.0	0.0	0.0	0.0	0.014741200000000003
Mobile Home	1960s	Electricity	Only Cooling Shared	1.0	0.0	0.0	0.0	0.0	0.0
Mobile Home	1960s	Electricity	Only Heating Shared	1.0	0.0	0.0	0.0	0.0	0.0
Mobile Home	1970s	Electricity	Both Shared	1.0	0.0	0.0	0.0	0.0	0.0
Mobile Home	1970s	Electricity	Neither Shared	1.0	0.0	0.0	0.0	0.0	0.014741200000000003
Mobile Home	1970s	Electricity	Only Cooling Shared	1.0	0.0	0.0	0.0	0.0	0.0
Mobile Home	1970s	Electricity	Only Heating Shared	1.0	0.0	0.0	0.0	0.0	0.0
Mobile Home	1980s	Electricity	Both Shared	1.0	0.0	0.0	0.0	0.0	0.0
Mobile Home	1980s	Electricity	Neither Shared	1.0	0.0	0.0	0.0	0.0	0.014741200000000003
Mobile Home	1980s	Electricity	Only Cooling Shared	1.0	0.0	0.0	0.0	0.0	0.0
Mobile Home	1980s	Electricity	Only Heating Shared	1.0	0.0	0.0	0.0	0.0	0.0
Mobile Home	1990s	Electricity	Both Shared	1.0	0.0	0.0	0.0	0.0	0.0
Mobile Home	1990s	Electricity	Neither Shared	1.0	0.0	0.0	0.0	0.0	0.014741200000000003
Mobile Home	1990s	Electricity	Only Cooling Shared	1.0	0.0	0.0	0.0	0.0	0.0
Mobile Home	1990s	Electricity	Only Heating Shared	1.0	0.0	0.0	0.0	0.0	0.0
Mobile Home	2000s	Electricity	Both Shared	1.0	0.0	0.0	0.0	0.0	0.0
Mobile Home	2000s	Electricity	Neither Shared	1.0	0.0	0.0	0.0	0.0	0.014741200000000003
Mobile Home	2000s	Electricity	Only Cooling Shared	1.0	0.0	0.0	0.0	0.0	0.0
Mobile Home	2000s	Electricity	Only Heating Shared	1.0	0.0	0.0	0.0	0.0	0.0
